Gender,Age,POLAR4 Quintile,POLAR3 Quintile,Adult HE 2001 Quintile,Adult HE 2011 Quintile,TUNDRA MSOA Quintile,TUNDRA LSOA Quintile,Gaps GCSE Quintile ,Gaps GCSE Ethnicity Quintile,Uni Connect target ward,attending from home?,distance to university (km),Count of Module Area Logins,Total Hours in Module Area,Percent of Average Hours in Module Area,# of presence,# of Absence,Percent Attended,label
0.0,20.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,0.0,1.0,309.7215152,80.0,36.88,1.507256976,6.0,4.0,50.0,0.0
0.0,20.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,0.0,1.0,12.74442906,71.0,54.93,2.244946467,12.0,0.0,100.0,0.0
0.0,20.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,0.0,1.0,49.85091805,40.0,9.57,0.391118472,10.0,2.0,83.33333333,0.0
0.0,19.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,0.0,1.0,8.189594808,42.0,24.87,1.016417597,8.0,4.0,66.66666667,0.0
1.0,20.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,1.0,0.0,40.0,20.53,0.839045166,9.0,3.0,75.0,0.0
1.0,19.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,31.97098505,104.0,17.48,0.714394033,12.0,0.0,100.0,0.0
0.0,20.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,0.0,1.0,17.32749755,51.0,14.21,0.580751671,11.0,1.0,91.66666667,0.0
0.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,15.71160919,86.0,33.19,1.35644954,11.0,0.0,91.66666667,0.0
1.0,20.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,0.0,25.78203164,90.0,23.77,0.971461451,11.0,1.0,91.66666667,0.0
0.0,20.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,56.55174503,61.0,28.61,1.169268495,9.0,3.0,75.0,0.0
0.0,19.0,2.0,4.0,2.0,3.0,1.0,1.0,4.0,5.0,0.0,1.0,10.97496196,52.0,16.78,0.685785576,12.0,0.0,100.0,0.0
0.0,19.0,4.0,2.0,1.0,5.0,4.0,4.0,2.0,4.0,0.0,1.0,15.15672055,51.0,17.15,0.700907189,11.0,1.0,91.66666667,0.0
0.0,20.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,0.0,0.0,17.08313306,36.0,15.09,0.616716588,10.0,2.0,83.33333333,0.0
1.0,29.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,0.0,1.0,12.74442906,93.0,29.96,1.224441947,8.0,0.0,66.66666667,0.0
0.0,21.0,3.0,2.0,1.0,3.0,1.0,1.0,4.0,5.0,0.0,1.0,6.521994699,65.0,10.05,0.4107357,12.0,0.0,100.0,0.0
1.0,20.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,19.10128193,61.0,20.93,0.855392855,12.0,0.0,100.0,0.0
0.0,19.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,3.259523336,41.0,13.36,0.546012831,9.0,3.0,75.0,0.0
0.0,20.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,3.259523336,68.0,26.06,1.065051974,11.0,0.0,91.66666667,0.0
0.0,35.0,4.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,0.0,1.0,14.91854231,44.0,25.87,1.057286821,12.0,0.0,100.0,0.0
0.0,23.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,9.528501411,66.0,22.44,0.917105383,12.0,0.0,100.0,0.0
0.0,20.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,47.0,6.68,0.273006415,12.0,0.0,100.0,0.0
